iter	Logloss
0	0.5724470747
1	0.4928099751
2	0.4392588118
3	0.4048322722
4	0.3777530031
5	0.3602500418
6	0.3461387109
7	0.3341143118
8	0.3255093965
9	0.3179008876
10	0.3124257444
11	0.3078588652
12	0.3032621328
13	0.2994784173
14	0.2965408753
15	0.2938906577
16	0.2916436028
17	0.2896713256
18	0.2878387788
19	0.2862127047
20	0.2848291078
21	0.2835294734
22	0.2825761762
23	0.2815428184
24	0.2806757149
25	0.2799467788
26	0.2792309306
27	0.2785553491
28	0.278036276
29	0.2775356084
30	0.2770552858
31	0.2766398604
32	0.2762679477
33	0.2759606258
34	0.2756333033
35	0.2753701653
36	0.2750238716
37	0.274775734
38	0.274556167
39	0.2743735361
40	0.2741454057
41	0.2739634933
42	0.2737720392
43	0.2736437084
44	0.2734839597
45	0.2733223771
46	0.2731701409
47	0.2730438898
48	0.2729459172
49	0.2728544135
50	0.2727623736
51	0.272653531
52	0.2725569877
53	0.2724748453
54	0.2723847977
55	0.2723035049
56	0.2722361883
57	0.2721740693
58	0.2721134346
59	0.2720417172
60	0.2719699928
61	0.2719197613
62	0.2718517702
63	0.2717934692
64	0.2717525861
65	0.2717005225
66	0.2716589802
67	0.2716147775
68	0.2715646967
69	0.2715233961
70	0.2714712804
71	0.2714346106
72	0.2714044932
73	0.271362833
74	0.2713320188
75	0.271238923
76	0.2712099982
77	0.2711399448
78	0.2711092074
79	0.2710648019
80	0.2710276804
81	0.2710077515
82	0.2709687979
83	0.2709487895
84	0.2709243386
85	0.270891816
86	0.2708591664
87	0.2708011843
88	0.270771933
89	0.2707422238
90	0.2707166591
91	0.2705475648
92	0.2705272516
93	0.2704922563
94	0.2704709163
95	0.2704482874
96	0.2703292534
97	0.270307252
98	0.2702825303
99	0.2702333531
100	0.2702148965
101	0.2701960247
102	0.2701749352
103	0.2701549314
104	0.2701346947
105	0.2701153378
106	0.2700896808
107	0.2700606546
108	0.2700427507
109	0.270029365
110	0.2700155155
111	0.2699980832
112	0.2699809999
113	0.2699547556
114	0.2699402556
115	0.2699291004
116	0.2698310718
117	0.2697919526
118	0.2697788917
119	0.2697557887
120	0.2697352594
121	0.2697104029
122	0.2696406076
123	0.2696282906
124	0.2696072203
125	0.2695925077
126	0.269579587
127	0.2695647623
128	0.2695482226
129	0.2695360069
130	0.2695209958
131	0.2695078842
132	0.2694966361
133	0.2694799659
134	0.2694681171
135	0.2694466377
136	0.2694083573
137	0.2693981677
138	0.2693084106
139	0.2692281377
140	0.2692004356
141	0.2691611858
142	0.2691514741
143	0.2691379468
144	0.2691183833
145	0.269103658
146	0.2690815819
147	0.2690379667
148	0.2690061931
149	0.2689746605
150	0.2689491277
151	0.2689339523
152	0.2689246175
153	0.2688995754
154	0.2688871535
155	0.2688344402
156	0.2688162526
157	0.2687406024
158	0.2687225404
159	0.2686931144
160	0.2686756331
161	0.2686606041
162	0.2686525494
163	0.2686389159
164	0.2686204291
165	0.2685973995
166	0.2685756287
167	0.2685662764
168	0.2685584012
169	0.2685430735
170	0.2685278397
171	0.2685203854
172	0.2685128122
173	0.2685026608
174	0.2684923629
175	0.2684735694
176	0.2684621421
177	0.2684525847
178	0.2684420958
179	0.2684203632
180	0.2684097798
181	0.2684005586
182	0.2683876113
183	0.2683756063
184	0.2683668576
185	0.268358605
186	0.2683471643
187	0.2683383627
188	0.2683295562
189	0.2683224424
190	0.2683079403
191	0.268289944
192	0.2682639629
193	0.2682528253
194	0.2682241669
195	0.2682157285
196	0.2682002891
197	0.2681849315
198	0.2681395379
199	0.2681316965
200	0.268107383
201	0.2680876648
202	0.2680676215
203	0.2680605543
204	0.2680417941
205	0.2680235728
206	0.2679711618
207	0.2679557976
208	0.267947665
209	0.2679347484
210	0.2679218753
211	0.2679113414
212	0.2678994957
213	0.2678900199
214	0.2678780888
215	0.2678631217
216	0.2678553242
217	0.2678480655
218	0.2678369724
219	0.2678297349
220	0.2678227052
221	0.2678123098
222	0.2677978504
223	0.2677660124
224	0.2677611429
225	0.2677492221
226	0.2677403814
227	0.2677269254
228	0.2677189717
229	0.2677120055
230	0.2676995464
