iter	Passed	Remaining
0	29	14141
1	59	14481
2	88	14260
3	117	14161
4	144	13894
5	174	13998
6	201	13813
7	228	13684
8	256	13625
9	286	13651
10	319	13817
11	350	13876
12	380	13878
13	409	13851
14	440	13862
15	471	13888
16	501	13862
17	532	13873
18	563	13887
19	591	13812
20	622	13816
21	654	13827
22	684	13804
23	714	13776
24	745	13780
25	776	13760
26	805	13715
27	833	13661
28	862	13616
29	892	13588
30	920	13538
31	951	13526
32	979	13471
33	1009	13448
34	1040	13440
35	1070	13414
36	1101	13397
37	1133	13392
38	1161	13337
39	1190	13305
40	1224	13321
41	1258	13330
42	1290	13327
43	1319	13288
44	1351	13269
45	1382	13254
46	1414	13242
47	1441	13183
48	1470	13148
49	1500	13118
50	1532	13100
51	1560	13058
52	1592	13041
53	1622	13011
54	1651	12975
55	1681	12941
56	1708	12887
57	1740	12874
58	1772	12857
59	1802	12827
60	1832	12800
61	1860	12756
62	1891	12729
63	1924	12718
64	1953	12685
65	1984	12656
66	2010	12605
67	2038	12563
68	2065	12513
69	2101	12520
70	2130	12483
71	2159	12447
72	2185	12394
73	2214	12361
74	2244	12330
75	2275	12305
76	2302	12257
77	2332	12228
78	2357	12177
79	2385	12136
80	2414	12102
81	2444	12071
82	2475	12051
83	2509	12041
84	2538	12003
85	2567	11973
86	2596	11939
87	2626	11910
88	2653	11867
89	2684	11842
90	2714	11811
91	2746	11793
92	2771	11743
93	2804	11725
94	2833	11691
95	2860	11652
96	2894	11638
97	2920	11592
98	2949	11560
99	2979	11530
100	3006	11489
101	3036	11462
102	3066	11431
103	3096	11402
104	3124	11367
105	3151	11328
106	3185	11313
107	3218	11295
108	3243	11248
109	3270	11208
110	3303	11188
111	3329	11147
112	3356	11110
113	3384	11074
114	3411	11033
115	3438	10998
116	3469	10970
117	3499	10943
118	3530	10918
119	3566	10908
120	3596	10878
121	3622	10838
122	3652	10809
123	3682	10780
124	3708	10740
125	3740	10718
126	3771	10691
127	3800	10660
128	3833	10639
129	3859	10599
130	3888	10567
131	3919	10541
132	3953	10522
133	3979	10482
134	4007	10449
135	4036	10418
136	4067	10390
137	4096	10360
138	4123	10324
139	4156	10302
140	4191	10286
141	4227	10272
142	4259	10245
143	4296	10234
144	4322	10195
145	4355	10173
146	4386	10145
147	4419	10124
148	4450	10096
149	4479	10063
150	4511	10038
151	4538	10002
152	4564	9964
153	4594	9935
154	4628	9913
155	4657	9882
156	4688	9855
157	4720	9829
158	4753	9804
159	4782	9773
160	4810	9740
161	4839	9709
162	4867	9674
163	4897	9645
164	4923	9607
165	4953	9579
166	4984	9551
167	5013	9520
168	5041	9485
169	5066	9447
170	5095	9417
171	5130	9395
172	5156	9358
173	5184	9325
174	5214	9296
175	5247	9273
176	5282	9251
177	5310	9218
178	5335	9180
179	5367	9154
180	5398	9125
181	5431	9101
182	5461	9072
183	5494	9047
184	5526	9022
185	5556	8992
186	5587	8963
187	5622	8941
188	5653	8913
189	5678	8875
190	5707	8845
191	5735	8813
192	5768	8787
193	5794	8751
194	5825	8723
195	5852	8689
196	5883	8661
197	5911	8629
198	5939	8596
199	5967	8563
200	5995	8530
201	6027	8504
202	6062	8480
203	6096	8456
204	6124	8424
