iter	Logloss
0	0.5726978012
1	0.4932395431
2	0.4397438824
3	0.4046296287
4	0.3778724175
5	0.3598021565
6	0.3451304358
7	0.3341657415
8	0.325284053999	0.3173432608
10	0.3115713985
11	0.3071911239
12	0.3028004128113	0.2991321346114	0.2962397128115	0.2934558373116	0.2910544029117	0.2891706251818	0.2873485171919	0.2858593892
20	0.284422362121	0.2832351105
22	0.2821256623	23	0.2813222124	24	0.2804525425	25	0.2796648822626	0.2790594722727	0.2784312322828	0.2778139422929	0.2773112933030	0.2768502633131	0.2764370432	32	0.2761035233	33	0.2757929634	34	0.275503035	035	0.2751917557
36	0.2749459337	37	0.2746679338	38	0.2744638339	39	0.27426874040	0.2740446294441	0.2738512554242	0.2737099304443	0.273548881444	0.2734326472445	0.2732909262446	0.2731300459447	0.272967206
48	0.2728251215
49	0.2727344507550	0.2726069297551	0.2725048896552	0.2724102845553	0.2723453955454	0.2722506655555	0.2721311056	56	0.2720577481
57	0.2718755658	58	0.2718048359	59	0.2717554360	60	0.271696636161	0.2716358176262	0.2715856125
63	0.2715388516464	0.2714948466565	0.2714593726666	0.2714071216767	0.2713560956868	0.2712638866969	0.2712290557070	0.27119403771	0.2710113071
72	0.2709771849
73	0.2709590355
74	0.2709246548
75	0.2708800131
76	0.2708583912
77	0.2708003948
78	0.2707705138
79	0.27068358
80	0.2706520726
81	0.2706316826
82	0.2705869056
83	0.2705635769
84	0.270536346
85	0.2705135995
86	0.2704795723
87	0.2704550838
88	0.2704362919
89	0.2704160681
90	0.2703866585
91	0.2703607256
92	0.2703310717
93	0.270207367
94	0.2701895936
95	0.2701683004
96	0.270141606
97	0.2701198828
98	0.2700684791
99	0.2700356031
100	0.2700183763
101	0.2699969605
102	0.2699407651
103	0.2698863798
104	0.2698205467
105	0.2698056716
106	0.2697916599
107	0.2697691939
108	0.2697494106
109	0.2697236073
110	0.2697043194
111	0.2696687372
112	0.2696530611
113	0.2696058515
114	0.2695043041
115	0.2694727353
116	0.2694567647
117	0.2694447465
118	0.2693446029
119	0.2693045738
120	0.2692884402
121	0.2692692786
122	0.2692553611
123	0.269234009
124	0.2692088752
125	0.269182113
126	0.2691284967
127	0.2691094574
128	0.2690972625
129	0.2690777207
130	0.2690629294
131	0.2690504676
132	0.2689983934
133	0.2689518187
134	0.2689437248
135	0.2688580835
136	0.2688481747
137	0.2688177826
138	0.2688006783
139	0.2687922712
140	0.2687682139
141	0.2687580566
142	0.2686966914
143	0.268660722
144	0.2686376527
145	0.2686193535
146	0.2686087481
147	0.2685967449
148	0.2685778082
149	0.2685621357
150	0.2685338795
151	0.2685024597
152	0.2684582733
153	0.2684210056
154	0.2683952906
155	0.2683539756
156	0.2683362736
157	0.268322943
158	0.2683126592
159	0.2683030364
160	0.2682925125
161	0.2682717797
162	0.2682519174
163	0.2682219282
164	0.2682120562
165	0.2682013378
166	0.2681868725
167	0.268178185
168	0.2681708595
169	0.268158841
170	0.268138709
171	0.2680845625
172	0.2680745734
173	0.2680603976
174	0.268049747
175	0.268036936
176	0.2680281521
177	0.2680168266
178	0.2679945341
179	0.2679878471
180	0.2679802405
181	0.2679706539
182	0.2679627171
183	0.2679296974
184	0.2679175682
185	0.2678977465
186	0.2678794886
187	0.2678739565
188	0.2678444751
189	0.2678245382
190	0.2678158004
191	0.267804691
192	0.2677889696
193	0.267775754
194	0.2677675187
195	0.2677549678
196	0.2677431928
197	0.2677239884
198	0.2677024284
199	0.267692814
200	0.2676859859
201	0.267680355
202	0.2676728869
203	0.2676634383
204	0.2676487205
205	0.2676426463
206	0.2676328599
207	0.2676248197
208	0.2676119267
209	0.2676032402
210	0.2675889693
211	0.2675601399
212	0.2675501495
213	0.2675343083
214	0.267520303
215	0.2675137085
216	0.2674994972
217	0.2674907597
218	0.2674848092
219	0.267476237
220	0.267467211
221	0.2674605782
222	0.2674524035
223	0.2674379035
224	0.2674301499
225	0.267421884
226	0.2674126007
227	0.2673806693
228	0.2673721151
229	0.2673378999
230	0.2673323079
231	0.267320563
232	0.2673113821
233	0.2672898465
234	0.2672802076
235	0.2672727678
236	0.2672639687
237	0.2672593461
238	0.2672505992
239	0.2672416775
240	0.2672300849
241	0.267221805
242	0.2672015867
243	0.2671938911
244	0.2671872815
245	0.2671737603
246	0.2671666012
247	0.2671600429
248	0.2671442352
249	0.2671353902
250	0.2671278457
251	0.2671135574
252	0.2671073046
253	0.2670968818
254	0.267090913
255	0.2670801342
256	0.2670740073
257	0.2670679412
258	0.2670600619
259	0.2670527109
260	0.2670454046
261	0.2670335593
262	0.2670269192
263	0.2670203864
264	0.2670120115
265	0.2670063874
266	0.2669998379
267	0.2669940206
268	0.2669886711
269	0.2669801643
270	0.2669742791
271	0.266967401
272	0.2669610529
273	0.266952538
274	0.266945365
275	0.2669386226
276	0.2669180925
277	0.2669127846
278	0.2669058841
279	0.266897491
280	0.2668914885
281	0.2668845836
282	0.2668775915
283	0.2668682141
284	0.2668628756
285	0.2668586593
286	0.2668539402
287	0.2668460035
288	0.2668295529
289	0.2668156979
290	0.2668044844
291	0.2667886951
292	0.2667820001
293	0.2667732198
294	0.266762842
295	0.2667571006
296	0.2667494833
297	0.2667425201
298	0.2667348986
299	0.2667297414
300	0.2667185098
301	0.2667132504
302	0.2667051822
303	0.2666985902
304	0.2666924923
305	0.2666875542
306	0.2666806083
307	0.2666751048
308	0.2666659879
309	0.2666585747
310	0.266651083
311	0.2666403874
312	0.2666344897
313	0.2666265917
314	0.2666195764
315	0.2666093084
316	0.2666040061
317	0.266597035
318	0.2665855048
319	0.2665800483
320	0.2665750504
321	0.2665690958
322	0.2665485946
323	0.2665423534
324	0.2665339926
325	0.266528187
326	0.2665184575
327	0.2665118214
328	0.2665034301
329	0.2664990935
330	0.2664926595
331	0.2664781755
332	0.2664699815
333	0.2664586648
334	0.2664532105
335	0.2664478254
336	0.2664378832
337	0.2664309669
338	0.2664247293
339	0.2664187974
340	0.266415306
341	0.2664101568
342	0.2663978778
343	0.2663816677
344	0.266377962
345	0.2663711411
346	0.2663663329
347	0.2663598807
348	0.266352562
349	0.2663471163
350	0.266335745
351	0.2663292064
352	0.2663225206
353	0.2663167425
354	0.2663075813
355	0.2663002629
356	0.2662932446
357	0.2662866982
358	0.2662751755
359	0.2662680327
360	0.2662575204
361	0.266252652
362	0.2662449406
363	0.2662390348
364	0.266234024
365	0.2662271695
366	0.2662198715
367	0.2662151809
368	0.2662061916
369	0.2661995458
370	0.2661922451
371	0.2661886537
372	0.2661831924
373	0.2661780779
374	0.2661697286
375	0.2661633652
376	0.2661558889
377	0.2661490032
378	0.2661439683
379	0.2661377789
380	0.2661310749
381	0.2661247545
382	0.2661159515
383	0.2661096565
384	0.2661019912
385	0.2660976702
386	0.2660915511
387	0.266085573
388	0.2660804903
389	0.2660754331
390	0.266069925
391	0.2660647129
392	0.2660589307
393	0.2660553829
394	0.2660480305
395	0.2660425536
396	0.2660368472
397	0.2660297698
398	0.2660192841
399	0.2660133101
400	0.2660074093
401	0.2660019289
402	0.2659951138
403	0.2659886793
404	0.2659833047
405	0.2659738739
406	0.2659697058
407	0.2659625481
408	0.2659567482
409	0.2659520489
410	0.2659485289
411	0.2659445404
412	0.2659403752
413	0.2659308103
414	0.2659267377
415	0.2659204903
416	0.2659157155
417	0.2659102746
418	0.2659054555
419	0.2658990076
420	0.265894282
421	0.2658892774
422	0.2658849692
423	0.2658784437
424	0.2658732699
425	0.2658686167
426	0.2658604585
427	0.2658540834
428	0.2658460902
429	0.2658398777
430	0.2658376235
431	0.2658313279
432	0.2658252634
433	0.2658169275
434	0.2658105737
435	0.2658056535
436	0.2657889499
437	0.265782333
438	0.2657775869
439	0.2657728415
440	0.2657651262
441	0.2657611216
442	0.2657570349
443	0.2657546693
444	0.2657506973
445	0.2657442459
446	0.2657400307
447	0.2657360274
448	0.2657323798
449	0.2657236604
450	0.2657164861
451	0.2657039527
452	0.2656984102
453	0.2656931901
454	0.2656880269
455	0.2656834671
456	0.2656794329
457	0.265675751
458	0.2656718746
459	0.2656660959
460	0.2656588176
461	0.2656525659
462	0.26564754
463	0.2656434367
464	0.2656380753
465	0.2656338242
466	0.2656285527
467	0.2656236112
468	0.2656170923
469	0.2656081996
470	0.2656027573
471	0.2655994058
472	0.2655952434
473	0.2655904291
474	0.2655844013
475	0.2655803063
476	0.2655742101
477	0.2655701133
478	0.2655578704
479	0.2655541205
480	0.2655489516
481	0.2655441351
482	0.265541171
483	0.2655360042
484	0.2655317265
485	0.2655270748
486	0.2655209521
5
203
87
