iter	Passed	Remaining
0	198	96704
1	285	69310
2	366	59177
3	461	55714
4	552	53293
5	645	51724
6	741	50824
7	812	48619
8	908	48260
9	997	47563
10	1093	47302
11	1167	46218
12	1300	47414113	1373	46407114	1440	45323115	1554	45758116	1640	45341117	1725	44954118	1805	44464119	1926	44991
20	1999	44366221	2093	44239
22	2163	43654223	2229	43019224	2315	42797225	2387	42335226	2474	42164227	2546	41739228	2619	41368229	2702	41166330	2767	40713331	2847	40486332	2936	40405333	3017	40201334	3095	39975335	3198	40072
36	3260	39657337	3348	39560338	3438	39495339	3526	39409440	3615	39332441	3698	39183442	3797	39215443	3903	39297444	4009	39381445	4120	39502446	4211	39425447	4292	39262448	4360	38981449	4429	38713550	4522	38658551	4583	38346552	4664	38192553	4738	37995554	4847	38073555	4933	37972556	5024	37905
57	5109	37794558	5192	37667559	5285	37613660	5358	37420661	5465	37467662	5544	37313
63	5613	37104
64	5674	36838665	5738	36606666	5829	36542667	5920	36479668	5993	36308669	6053	36062770	6116	3583571	6232	35925
72	6334	35923
73	6411	35784
74	6495	35681
75	6581	35592
76	6657	35451
77	6738	35335
78	6815	35198
79	6919	35205
80	7015	35163
81	7095	35042
82	7181	34957
83	7299	35020
84	7352	34775
85	7490	34926
86	7617	35024
87	7712	34970
88	7784	34812
89	7854	34646
90	7987	34759
91	8075	34671
92	8167	34602
93	8282	34627
94	8391	34627
95	8494	34598
96	8596	34564
97	8676	34440
98	8834	34624
99	8930	34560
100	9102	34786
101	9140	34502
102	9178	34219
103	9215	33938
104	9382	34134
105	9534	34270
106	9625	34183
107	9848	34562
108	10048	34847
109	10177	34879
110	10272	34797
111	10373	34731
112	10485	34703
113	10600	34682
114	10695	34597
115	10781	34482
116	10894	34452
117	10988	34363
118	11113	34368
119	11223	34325
120	11266	34079
121	11316	33855
122	11395	33722
123	11493	33647
124	11595	33581
125	11738	33632
126	11832	33541
127	11916	33423
128	12026	33375
129	12134	33322
130	12255	33306
131	12339	33186
132	12470	33190
133	12574	33124
134	12702	33120
135	12787	33002
136	12886	32922
137	12956	32767
138	13033	32630
139	13091	32449
140	13158	32288
141	13212	32100
142	13295	31983
143	13365	31836
144	13433	31685
145	13501	31533
146	13563	31370
147	13631	31222
148	13716	31115
149	13771	30940
150	13842	30801
151	13913	30664
152	13975	30507
153	14050	30382
154	14133	30272
155	14203	30136
156	14271	29997
157	14341	29863
158	14404	29714
159	14478	29589
160	14544	29449
161	14607	29304
162	14682	29184
163	14757	29065
164	14844	28968
165	14925	28862
166	15024	28789
167	15110	28691
168	15190	28582
169	15266	28467
170	15339	28346
171	15440	28276
172	15551	28225
173	15624	28106
174	15730	28045
175	15861	28027
176	15951	27938
177	16016	27803
178	16085	27678
179	16201	27631
180	16259	27487
181	16333	27372
182	16408	27258
183	16481	27140
184	16570	27049
185	16648	26941
186	16759	26886
187	16840	26783
188	16935	26703
189	17014	26596
190	17105	26509
191	17247	26499
192	17328	26397
193	17402	26283
194	17471	26162
195	17567	26082
196	17659	25996
197	17748	25904
198	17829	25803
199	17916	25710
200	18005	25620
201	18083	25513
202	18173	25425
203	18257	25327
204	18346	25237
205	18398	25097
206	18481	24998
207	18555	24889
208	18633	24784
209	18708	24677
210	18785	24571
211	18867	24474
212	18967	24399
213	19049	24301
214	19117	24186
215	19187	24072
216	19250	23951
217	19310	23827
218	19382	23718
219	19473	23634
220	19550	23531
221	19647	23452
222	19715	23340
223	19783	23227
224	19871	23139
225	19943	23031
226	20057	22973
227	20220	22969
228	20308	22880
229	20383	22776
230	20474	22690
231	20563	22602
232	20658	22520
233	20795	22484
234	20911	22424
235	21015	22351
236	21158	22319
237	21286	22270
238	21390	22195
239	21464	22090
240	21555	22002
241	21626	21894
242	21701	21790
243	21779	21689
244	21856	21588
245	21930	21484
246	22042	21417
247	22124	21321
248	22205	21224
249	22287	21128
250	22376	21039
251	22442	20928
252	22528	20836
253	22604	20735
254	22707	20659
255	22779	20554
256	22847	20447
257	22917	20341
258	22982	20231
259	23050	20124
260	23119	20019
261	23216	19937
262	23284	19831
263	23343	19717
264	23416	19616
265	23480	19507
266	23554	19407
267	23637	19315
268	23701	19207
269	23763	19098
270	23846	19006
271	23924	18910
272	23989	18804
273	24060	18704
274	24131	18603
275	24199	18500
276	24273	18402
277	24343	18301
278	24411	18198
279	24526	18132
280	24632	18057
281	24709	17962
282	24780	17862
283	24864	17773
284	24948	17682
285	25009	17576
286	25081	17478
287	25173	17394
288	25270	17313
289	25371	17235
290	25445	17138
291	25522	17044
292	25589	16943
293	25661	16845
294	25734	16749
295	25805	16651
296	25889	16562
297	25978	16476
298	26084	16400
299	26161	16307
300	26231	16209
301	26379	16159
302	26474	16076
303	26549	15982
304	26632	15892
305	26699	15792
306	26764	15692
307	26849	15604
308	26908	15500
309	26971	15399
310	27041	15303
311	27115	15208
312	27177	15108
313	27250	15013
314	27319	14917
315	27392	14823
316	27466	14729
317	27565	14649
318	27641	14557
319	27701	14456
320	27772	14361
321	27841	14266
322	27932	14182
323	28020	14096
324	28110	14011
325	28199	13926
326	28285	13839
327	28354	13744
328	28422	13649
329	28507	13562
330	28571	13465
331	28646	13374
332	28719	13281
333	28791	13189
334	28856	13092
335	28941	13006
336	29065	12937
337	29155	12852
338	29216	12755
339	29299	12667
340	29362	12571
341	29435	12480
342	29499	12384
343	29587	12299
344	29684	12217
345	29777	12134
346	29832	12036
347	29905	11945
348	29972	11851
349	30035	11756
350	30115	11668
351	30190	11578
352	30291	11498
353	30393	11419
354	30502	11341
355	30559	11245
356	30617	11149
357	30677	11054
358	30773	10972
359	30845	10881
360	30912	10789
361	30977	10696
362	31050	10606
363	31124	10517
364	31200	10428
365	31263	10335
366	31353	10251
367	31433	10164
368	31519	10079
369	31595	9991
370	31709	9914
371	31789	9827
372	31859	9737
373	31927	9646
374	31996	9556
375	32061	9465
376	32177	9388
377	32269	9305
378	32344	9216
379	32429	9131
380	32511	9045
381	32583	8956
382	32658	8868
383	32738	8781
384	32819	8694
385	32888	8605
386	32959	8516
387	33042	8431
388	33163	8354
389	33258	8272
390	33338	8185
391	33409	8096
392	33465	8004
393	33530	7914
394	33624	7831
395	33691	7742
396	33763	7654
397	33843	7568
398	33921	7481
399	34055	7407
400	34126	7318
401	34198	7230
402	34266	7142
403	34329	7052
404	34450	6975
405	34502	6883
406	34579	6797
407	34664	6712
408	34730	6623
409	34811	6537
410	34885	6450
411	34953	6362
412	35029	6276
413	35109	6190
414	35194	6106
415	35263	6018
416	35333	5931
417	35406	5844
418	35502	5761
419	35576	5675
420	35662	5590
421	35755	5507
422	35826	5420
423	35912	5336
424	35977	5248
425	36035	5159
426	36098	5072
427	36180	4987
428	36254	4901
429	36313	4813
430	36428	4733
431	36547	4652
432	36615	4566
433	36676	4478
434	36765	4394
435	36845	4309
436	36918	4224
437	37003	4139
438	37187	4066
439	37301	3984
440	37376	3898
441	37452	3813
442	37499	3724
443	37559	3637
444	37628	3551
445	37695	3465
446	37767	3379
447	37851	3295
448	37923	3209
449	38005	3124
450	38078	3039
451	38171	2955
452	38265	2872
453	38351	2787
454	38430	2702
455	38488	2616
456	38545	2530
457	38614	2445
458	38681	2359
459	38750	2274
460	38806	2188
461	38862	2102
462	38914	2017
463	38964	1931
464	39018	1846
465	39069	1760
466	39115	1675
467	39212	1591
468	39274	1507
469	39350	1423
470	39417	1339
471	39452	1253
472	39486	1168
473	39512	1083
474	39533	998
475	39560	914
476	39584	829
477	39609	745
478	39633	661
479	39658	578
480	39677	494
481	39701	411
482	39725	328
483	39743	246
484	39764	163
485	39784	81
486	39808	0
