model,phase,roc_auc_mean,roc_auc_std,f1_mean,f1_std,recall_mean,recall_std,precision_mean,precision_std,accuracy_mean,accuracy_std,elapsed_s,note
Dummy (majority),baseline,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5516603174603174,3.17460317460494e-06,1.8,
Dummy (stratified),baseline,0.4989691248172484,0.0009858438527572317,0.44709565230673265,0.0010880043993903598,0.44698959809052746,0.0010876989290408835,0.447201756871635,0.0010883123380962807,0.5043396825396826,0.00097531125717633,1.3,
Dummy (prior),baseline,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5516603174603174,3.17460317460494e-06,1.2,
"LR (L2, C=1.0)",baseline,0.9504900671697614,0.00033749261824613885,0.8679103171629562,0.0008612716579721013,0.8563022637991964,0.0017483093146776767,0.879839831281197,0.0006037364661035442,0.8831428571428571,0.0006579360292566987,0.8,
"LR (L1, C=1.0)",baseline,0.9504902558809061,0.00033655283674652965,0.8679062486879985,0.0008671379608425108,0.8563766123641562,0.001748796560678352,0.8797529377713358,0.0005798326201868581,0.8831285714285715,0.0006624659795787873,1.5,
LR (ElasticNet),baseline,0.9504902280708951,0.0003367046788800214,0.8679053074840969,0.0008715373605498895,0.8563695315902276,0.00174491261598043,0.8797584525104032,0.0005880164194602889,0.8831285714285715,0.0006678636269007908,4.1,
"LR (L2, C=0.01)",baseline,0.9504904196346351,0.00033757246261630243,0.8678840187201103,0.0008845450824314811,0.856245617482422,0.0017767776654256245,0.8798456214584162,0.0006107065081751303,0.8831238095238094,0.0006777350270893506,1.4,
"LR (L2, C=100)",baseline,0.9504900665585525,0.00033749973288318036,0.8679103171629562,0.0008612716579721013,0.8563022637991964,0.0017483093146776767,0.879839831281197,0.0006037364661035442,0.8831428571428571,0.0006579360292566987,1.6,
GaussianNB,baseline,0.9381717998520067,0.0005187795888965294,0.8559898660535458,0.0007741696099341544,0.8557110161051915,0.0014345065798423197,0.8562724588698059,0.0014805446030917446,0.8709111111111112,0.0007237190141127024,0.6,
GaussianNB (var_smoothing=1e-5),baseline,0.9381720062885501,0.0005187743424916729,0.8559918857699399,0.0007749763013995748,0.8557145564921559,0.0014410201473131147,0.8562729724047372,0.001479843668386585,0.8709126984126984,0.0007235553716982073,0.4,
KNN (k=3),baseline,0.9017821544581774,0.004268557696774882,0.8386424976974197,0.0051266894357671795,0.8304692345862795,0.007015601472750196,0.8470260549900267,0.006536257298333103,0.8568666666666667,0.004555094827650555,1.2,sample=30K
KNN (k=5),baseline,0.920916746703828,0.004060097221735389,0.8460841064565244,0.004837986733568463,0.8382835067875309,0.006571724904940933,0.8540531046039973,0.004589879704993452,0.8634000000000001,0.004140048308896913,1.3,sample=30K
KNN (k=11),baseline,0.9354467623697404,0.002545686584566354,0.8543635011627615,0.00414161985665845,0.8426744122937601,0.007346378250936476,0.8664356667861501,0.004872554957426878,0.8713333333333333,0.0034367297116752156,1.8,sample=30K
KNN (k=21),baseline,0.9403444164518465,0.002148541920414532,0.8566273153940654,0.004691867068163067,0.8431208408651886,0.007076811422046182,0.8706109986717449,0.004845336059332524,0.8736,0.0039477138250441045,2.3,sample=30K
Decision Tree (depth=3),baseline,0.9057568241286493,0.0005125707688693541,0.8119186976258105,0.001602433516709551,0.7623683855113765,0.002570074607353745,0.8683622487187185,0.0006221312439787162,0.8416460317460317,0.0011385124647543636,0.8,
Decision Tree (depth=5),baseline,0.932686606460118,0.0006395959356269304,0.8436123257040581,0.0015062242311041805,0.8261982484648398,0.0024803356386692917,0.8617802239154111,0.0011220847310355478,0.8626666666666667,0.0011912590018858993,1.0,
Decision Tree (depth=10),baseline,0.9487529262417477,0.0003105491562397905,0.8660869850288219,0.0012499737823572056,0.8570776079803217,0.0032525176987725753,0.8752995889731207,0.00152153604062095,0.8811746031746033,0.0008946384347597497,1.5,
Decision Tree (unlimited),baseline,0.8238774595450324,0.0009320376817272965,0.8058819258353264,0.00111402190761609,0.8076819526305187,0.0020343394105733848,0.804092534604794,0.0007074507665215838,0.8255507936507935,0.0008379930192594092,2.4,
