model,phase,roc_auc_mean,roc_auc_std,f1_mean,f1_std,recall_mean,recall_std,precision_mean,precision_std,accuracy_mean,accuracy_std,elapsed_s
XGBoost (default),boosting,0.9546589037298572,0.0004399651809351746,0.8739394853363676,0.001116424938075086,0.8666402320906972,0.002143198556176504,0.8813655498454762,0.00046251433486364866,0.8879095238095239,0.0008676400139179583,4.3
"XGBoost (n=500, lr=0.05)",boosting,0.9552438442920247,0.00045038719689841083,0.8744637301859071,0.0011247196371152871,0.8669340868409918,0.0021534974335192677,0.8821282353339897,0.0005408490594879987,0.8884047619047619,0.000876903321710055,14.8
XGBoost (dart),boosting,0.9550894267515437,0.000405475362182045,0.8743555876197944,0.00111403527830172,0.8670650804692699,0.002081759648662766,0.8817726030536042,0.0007252433168573515,0.8882777777777779,0.0008838006294024381,984.0
LightGBM (default),boosting,0.9547383888087226,0.0003924492566470704,0.8738832542681614,0.0009437409331814795,0.8668455735318616,0.0018995689236856869,0.8810388008278254,0.000621072827791629,0.8878253968253969,0.0007323122142490732,6.6
"LightGBM (n=500, lr=0.05)",boosting,0.9551121024840011,0.00042617558348636333,0.8744771888612533,0.0011277677244222308,0.8673730964540575,0.00210544473759937,0.8817011463600704,0.0004366995875829163,0.8883619047619048,0.0008829250043838053,33.7
LightGBM (dart),boosting,0.9533346265764034,0.0004063485997564013,0.8722757805477823,0.0009319458048500358,0.865617056936357,0.0019686932069794953,0.8790408534342962,0.0006808506309093921,0.8863476190476189,0.0007137811268887337,70.3
LightGBM (goss),boosting,0.9545301869617372,0.0004747794440059817,0.8741302792584754,0.0011513271928334022,0.8671111060011881,0.0021753218640690164,0.8812667662877207,0.00042272764741717414,0.888042857142857,0.0008976411516793545,19.0
CatBoost (default),boosting,0.9547328039618656,0.00046759128633248474,0.8739851205803785,0.001250303890216578,0.8664702943938305,0.00211012381207242,0.8816337704522621,0.0007616867799905237,0.8879777777777779,0.0010131088385610108,26.3
CatBoost (deep),boosting,0.955210211169927,0.00041318889386476166,0.8745627946102056,0.0011145561112917643,0.8670367584389933,0.0020333088043671056,0.8822231566089235,0.0006566926949090354,0.8884920634920634,0.0008863199840545817,45.9
XGBoost (Optuna best),boosting_tuned,0.9554708214387488,0.0004431400873849082,0.8748973160484491,0.0010856729400816312,0.8669907330950934,0.002145791680654537,0.8829523102372041,0.00032482094646564514,0.8888380952380952,0.0008323970552847794,11.3
LightGBM (Optuna best),boosting_tuned,0.9553268982350561,0.00042582489740215535,0.8748158014637838,0.0009585728504802128,0.8675925995057515,0.0018964263667137664,0.8821625317514424,0.0002976272814940435,0.8886777777777779,0.0007355323313978904,25.1
CatBoost (Optuna best),boosting_tuned,0.9554899566022111,0.0004451200502502003,0.8749672851737884,0.0011346969626782218,0.8668137129948048,0.0020974131506257573,0.8832781929188661,0.00044694530005723207,0.8889317460317461,0.0008905115574563008,43.4
