strategy,roc_auc_mean,roc_auc_std,f1_mean,f1_std,recall_mean,recall_std,precision_mean,precision_std
Baseline (no resampling),0.9547239829434249,0.0011958868747101818,0.87267053867881,0.0022336081937990903,0.8651017086261383,0.002420349123907626,0.8803764862599186,0.002674249653117783
class_weight=balanced,0.9547513907884833,0.0011762744886186184,0.8744281838396983,0.0021169013613132814,0.881673911665198,0.0026437273530408095,0.8673054752788687,0.0025142043845310436
SVMSMOTE (30K),0.9534137151177834,0.0013830043288542726,0.8732850298983099,0.0023720690265762656,0.8801518339576667,0.004744851396648426,0.8665397081083455,0.0016476762912076466
SMOTE,0.9545547529404358,0.0012502719781145738,0.8731835125844094,0.002545853654733775,0.8701893938178495,0.002770872136781755,0.8762011966390126,0.002789473863493267
ADASYN,0.9542249918482686,0.0012423583163426106,0.8731476766315502,0.002060646366034693,0.8737448301448294,0.002189676037383181,0.8725540702871706,0.0024656593811814074
BorderlineSMOTE,0.9541118180069045,0.0012625934176383874,0.8731656451717738,0.0022852440686896725,0.8798738455202628,0.002213737586943696,0.8665614207901594,0.0027651710641041455
RandomUnderSampler,0.9546970670051792,0.0011726087212875333,0.8743782449984107,0.0021437534071659494,0.8821499482890005,0.00258265403574186,0.8667478102980315,0.0027198033127689984
TomekLinks,0.954540878647463,0.0012432229264217407,0.8742030304553274,0.002371613266585943,0.8860177883182823,0.0026183842173438773,0.8627023364429629,0.0026761223137321682
SMOTEENN,0.9525320168627494,0.0012153914429454545,0.8721935429176331,0.0021246611131407775,0.8832805630706565,0.002863493369757409,0.8613896550993907,0.0028635551560239943
SMOTETomek,0.9542758128686536,0.0012876065861613369,0.8726826846119901,0.0025144356687155736,0.8684637423848403,0.0028231721678276,0.8769456897953563,0.0026722589975936278
