,Gain (normalized),Permutation (normalized),SHAP (normalized)
Thallium,0.08325624421831637,1.0,1.0
Chest pain type,0.14893617021276595,0.8255512646590298,0.9194165724600452
Max HR,1.0,0.8762983375795865,0.6659158078997791
Number of vessels fluro,0.13506012950971322,0.3848680509928639,0.560246638124916
Exercise angina,0.06382978723404255,0.22383377686602568,0.4589991117364599
Slope of ST,0.10545790934320073,0.16573278612585426,0.42271472709288915
Sex,0.0841813135985199,0.18447915238774862,0.4085327870758591
ST depression,0.44680851063829785,0.18217270359568563,0.34408377535255885
Age,0.5346901017576319,0.11897260338723445,0.31675620610447225
EKG results,0.032377428307123035,0.055611141572798846,0.2082952279987954
Cholesterol,0.6096207215541165,0.024202232001471903,0.12422574989935141
BP,0.3691026827012026,0.016058286340924963,0.056553881743308214
FBS over 120,0.0,0.0,0.0
