model,roc_auc,f1,recall
LightGBM_Optuna,0.9554439096149139,0.8748258443423526,0.866983650435115
XGBoost_Optuna,0.9554692616017333,0.8748986248709365,0.8669907312341124
CatBoost_Optuna,0.9554885940099059,0.8749685067087412,0.8668137112591785
LogisticRegression_L2,0.9504884498040209,0.8679111225939801,0.8563022651475992
SoftVote_LGB+XGB+CAT,0.9555246025385028,0.8749370308575594,0.8670225948296005
SoftVote_ALL4,0.9551252727534028,0.8743062473953536,0.8653125818717384
SoftVote_LGB+XGB,0.9554979312525429,0.8749386025859252,0.8671465088120544
SoftVote_LGB+CAT,0.955507972325125,0.8748711554298719,0.8669340848421336
RankAvg_LGB+XGB+CAT,0.9555253413755633,0.8713357884164714,0.9214526967222981
RankAvg_ALL4,0.9551352195212071,0.8712291579388354,0.9203374708802141
LightGBM_Optuna@t=0.438,0.9554439096149139,0.8762764654418198,0.8865018728713348
Stack_LR_meta(3),0.9555213374488533,0.8749348097874621,0.8671783724075425
Stack_LR_meta(4),0.9554973264999154,0.8749647221894749,0.8671181856160649
Stack_LGB_meta(3),0.9554394935587517,0.874983720212449,0.8681732246666714
Stack_LGB_meta(4),0.9554357057919375,0.8749538178164171,0.8677873211213153
