phase,model,roc_auc,f1,recall
P12_Ensemble,RankAvg_LGB+XGB+CAT,0.9555253413755633,0.8713357884164714,0.9214526967222981
P12_Ensemble,SoftVote_LGB+XGB+CAT,0.9555246025385028,0.8749370308575594,0.8670225948296005
P12_Ensemble,Stack_LR_meta(3),0.9555213374488533,0.8749348097874621,0.8671783724075425
P12_Ensemble,SoftVote_LGB+CAT,0.955507972325125,0.8748711554298719,0.8669340848421336
P12_Ensemble,SoftVote_LGB+XGB,0.9554979312525429,0.8749386025859252,0.8671465088120544
P12_Ensemble,Stack_LR_meta(4),0.9554973264999154,0.8749647221894749,0.8671181856160649
P5_Boosting,CatBoost (Optuna best),0.9554899566022113,0.8749672851737884,0.8668137129948048
P12_Ensemble,CatBoost_Optuna,0.9554885940099059,0.8749685067087412,0.8668137112591785
P5_Boosting,XGBoost (Optuna best),0.9554708214387488,0.8748973160484491,0.8669907330950934
P12_Ensemble,XGBoost_Optuna,0.9554692616017333,0.8748986248709365,0.8669907312341124
P7_AutoML,LGB_ablation_scaled_13,0.955446737513447,0.0,0.0
P7_AutoML,LightGBM_Optuna_TPE_200,0.955446737513447,0.0,0.0
P7_AutoML,LGB_ablation_raw_13,0.9554455957279714,0.0,0.0
P12_Ensemble,LightGBM_Optuna@t=0.438,0.9554439096149139,0.8762764654418198,0.8865018728713348
P12_Ensemble,LightGBM_Optuna,0.9554439096149139,0.8748258443423526,0.866983650435115
P12_Ensemble,Stack_LGB_meta(3),0.9554394935587517,0.874983720212449,0.8681732246666714
P12_Ensemble,Stack_LGB_meta(4),0.9554357057919375,0.8749538178164171,0.8677873211213153
P7_AutoML,LGB_ablation_engineered_18,0.9553599412507828,0.0,0.0
P5_Boosting,LightGBM (Optuna best),0.955326898235056,0.8748158014637838,0.8675925995057515
P7_AutoML,FLAML_600s,0.9552954099673056,0.0,0.0
P7_AutoML,FLAML_300s,0.9552954099673056,0.0,0.0
P5_Boosting,"XGBoost (n=500, lr=0.05)",0.9552438442920248,0.8744637301859071,0.8669340868409918
P5_Boosting,CatBoost (deep),0.955210211169927,0.8745627946102056,0.8670367584389933
P12_Ensemble,RankAvg_ALL4,0.9551352195212071,0.8712291579388354,0.9203374708802141
P12_Ensemble,SoftVote_ALL4,0.9551252727534028,0.8743062473953536,0.8653125818717384
P5_Boosting,"LightGBM (n=500, lr=0.05)",0.9551121024840012,0.8744771888612533,0.8673730964540575
P5_Boosting,XGBoost (dart),0.9550894267515436,0.8743555876197944,0.8670650804692699
P4_ClassicalML,HistGradientBoosting (lr=0.05),0.954981496890874,0.8743127698854376,0.867475765733165
P8_Imbalance,,0.9547513907884831,0.8744281838396983,0.881673911665198
P5_Boosting,LightGBM (default),0.9547383888087226,0.8738832542681614,0.8668455735318616
P5_Boosting,CatBoost (default),0.9547328039618656,0.8739851205803785,0.8664702943938305
P8_Imbalance,,0.9547239829434248,0.87267053867881,0.8651017086261383
P4_ClassicalML,HistGradientBoosting (default),0.9547178133012773,0.8739111171581093,0.8672845842103648
P8_Imbalance,,0.9546970670051792,0.8743782449984107,0.8821499482890005
P5_Boosting,XGBoost (default),0.9546589037298572,0.8739394853363676,0.8666402320906972
P7_AutoML,LightGBM_Optuna_CMAES_100,0.9546118477805802,0.0,0.0
P8_Imbalance,,0.9545547529404358,0.8731835125844094,0.8701893938178495
P8_Imbalance,,0.954540878647463,0.8742030304553274,0.8860177883182823
P5_Boosting,LightGBM (goss),0.9545301869617372,0.8741302792584754,0.8671111060011881
P4_ClassicalML,AdaBoost (n=200),0.9543783766769433,0.8728238208725794,0.8606498760383549
P8_Imbalance,,0.9542758128686536,0.8726826846119901,0.8684637423848403
P4_ClassicalML,AdaBoost (n=100),0.9542718816564988,0.8728146031021684,0.8610888856514205
P8_Imbalance,,0.9542249918482686,0.8731476766315502,0.8737448301448294
P8_Imbalance,,0.9541118180069044,0.8731656451717738,0.8798738455202628
P8_Imbalance,,0.9534137151177834,0.8732850298983099,0.8801518339576667
P5_Boosting,LightGBM (dart),0.9533346265764034,0.8722757805477823,0.865617056936357
P8_Imbalance,,0.9525320168627494,0.8721935429176331,0.8832805630706565
P6_NeuralNet,"MLP Wide (512-256, GELU)",0.95253192230594,0.8696743643976301,0.861620630580979
P6_NeuralNet,"MLP Deep (5-layer, Swish)",0.9524952617348618,0.869744817614694,0.862290050963024
P6_NeuralNet,"MLP Medium (256-128-64, BN)",0.9524421284014922,0.8697906850823083,0.8620370980364648
P6_NeuralNet,"MLP Small (64-32, ReLU)",0.9522797168164412,0.8696088243210113,0.8624239319413096
P3_Baseline,"LR (L2, C=0.01)",0.9504904196346352,0.8678840187201103,0.856245617482422
P3_Baseline,"LR (L1, C=1.0)",0.950490255880906,0.8679062486879985,0.8563766123641562
P3_Baseline,LR (ElasticNet),0.9504902280708952,0.8679053074840969,0.8563695315902276
P3_Baseline,"LR (L2, C=1.0)",0.9504900671697614,0.8679103171629562,0.8563022637991964
P3_Baseline,"LR (L2, C=100)",0.9504900665585524,0.8679103171629562,0.8563022637991964
P12_Ensemble,LogisticRegression_L2,0.9504884498040209,0.8679111225939801,0.8563022651475992
P4_ClassicalML,SVM (Linear),0.950024553839334,0.8646410115556868,0.8519793374196032
P6_NeuralNet,"TabNet (n_d=32, n_steps=5)",0.9491053547835144,0.8650476298261458,0.8538960549642063
P4_ClassicalML,LDA,0.9489829935087172,0.8611609026513785,0.838929520725771
P3_Baseline,Decision Tree (depth=10),0.9487529262417476,0.8660869850288219,0.8570776079803217
P4_ClassicalML,Random Forest (n=300),0.9479764371420462,0.8668166738242951,0.8608587582425203
P4_ClassicalML,Random Forest (n=100),0.9470286876420776,0.865857417669465,0.8590460736615018
P4_ClassicalML,Extra Trees (n=300),0.9456669614584864,0.8631670922760598,0.8581786733400423
P4_ClassicalML,Extra Trees (n=100),0.9446869345500816,0.8620118917356061,0.8559836237705667
P3_Baseline,KNN (k=21),0.9403444164518464,0.8566273153940654,0.8431208408651886
P4_ClassicalML,QDA (reg=0.1),0.9382139322943872,0.8563860653546052,0.8555764829046957
P3_Baseline,GaussianNB (var_smoothing=1e-5),0.93817200628855,0.8559918857699399,0.8557145564921559
P3_Baseline,GaussianNB,0.9381717998520068,0.8559898660535458,0.8557110161051915
P4_ClassicalML,"SVM (RBF, C=1)",0.9373145029967048,0.8648059194618654,0.8555045792533121
P4_ClassicalML,Bagging (DT base),0.936225000623911,0.8463099607653355,0.8345075737723432
P3_Baseline,KNN (k=11),0.9354467623697404,0.8543635011627615,0.8426744122937601
P4_ClassicalML,QDA,0.935229307729872,0.8540842944836939,0.8614287642414673
P4_ClassicalML,"SVM (Poly, d=3)",0.9352244965480372,0.8633835009107763,0.8495248070563391
P3_Baseline,Decision Tree (depth=5),0.932686606460118,0.8436123257040581,0.8261982484648398
P4_ClassicalML,"SVM (RBF, C=10)",0.928526757173192,0.8606552954546467,0.8510867392802632
P3_Baseline,KNN (k=5),0.920916746703828,0.8460841064565244,0.8382835067875309
P3_Baseline,Decision Tree (depth=3),0.9057568241286492,0.8119186976258105,0.7623683855113765
P3_Baseline,KNN (k=3),0.9017821544581774,0.8386424976974197,0.8304692345862795
P3_Baseline,Decision Tree (unlimited),0.8238774595450324,0.8058819258353264,0.8076819526305187
P3_Baseline,Dummy (prior),0.5,0.0,0.0
P3_Baseline,Dummy (majority),0.5,0.0,0.0
P3_Baseline,Dummy (stratified),0.4989691248172484,0.4470956523067326,0.4469895980905274
